Strain,Stress_MPa,DRX_Fraction_pct,AvgGrainSize_um,LAGB_pct,HAGB_pct
0.02,35.8746221280464,0,46.3055189091776,0,100
0.04,74.411832864842,0.00444444444444444,45.4408237747032,0,100
0.06,112.42083766707,0.532222222222222,40.2142098772638,0,100
0.0800000000000001,121.460693470247,7.92555555555556,37.3987931053643,0,100
0.1,107.945331244683,27.44,34.3707200018709,0,100
0.12,85.2681734891623,55.4155555555555,31.3697726649533,0,100
0.14,61.0115849732746,79.11,31.2262176544457,0,100
0.16,46.3160678244448,91.83,34.6340166117039,0,100
0.18,45.1188628968748,96.9488888888889,35.1580643398176,0,100
0.2,51.9210604355023,98.5155555555556,37.9293918577814,0,100
0.22,61.0262760885153,99.6755555555555,37.1821954390353,0,100
0.24,71.8055719943781,99.9911111111111,36.7096310599105,0,100
0.26,83.0849180692661,100,38.3226382844012,0,100
0.28,94.3977120526814,100,38.3226382844012,0,100
0.3,104.132343900591,100,42.4487017515048,0,100
0.32,112.945939102571,100,42.4487017515048,0,100
0.34,119.206683745043,100,42.4487017515048,0,100
0.36,123.024336453317,100,42.4487017515048,0,100
0.38,124.967090424161,100,42.4487017515048,0,100
0.4,125.940617365261,100,44.4244056024255,0,100
0.42,126.507558098372,100,44.4244056024255,0,100
0.44,126.56791816118,100,44.4244056024255,0,100
0.46,126.568265981643,100,44.4244056024255,0,100
0.48,126.568265981643,100,44.4244056024255,0,100
0.5,126.568265981643,100,43.762464940554,0,100
0.52,126.568265981643,100,43.762464940554,0,100
0.54,126.568265981643,100,43.762464940554,0,100
0.56,126.568265981643,100,43.762464940554,0,100
0.58,126.568265981643,100,43.762464940554,0,100
0.6,126.568265981643,100,44.2167776967444,0,100
0.62,126.568265981643,100,44.2167776967444,0,100
0.64,126.568265981643,100,44.2167776967444,0,100
0.66,126.568265981643,100,44.2167776967444,0,100
0.68,126.568265981643,100,44.2167776967444,0,100
0.700000000000001,126.568265981643,100,46.6006215569264,0,100
0.720000000000001,126.568265981643,100,46.6006215569264,0,100
0.740000000000001,126.568265981643,100,46.6006215569264,0,100
0.760000000000001,126.568265981643,100,46.6006215569264,0,100
0.780000000000001,126.568265981643,100,46.6006215569264,0,100
0.800000000000001,126.568265981643,100,47.9842361498703,0,100
